museum,collection,GUID,sciname,locuncertain,country,state,locality,date,lat,lon,alt,ssp,age,sex,toel1,toea1,toeb1,toel2,toea2,toeb2,toel3,toea3,toeb3,toel4,toea4,toeb4,toel5,toea5,toeb5,toel6,toea6,toeb6,toem1,toem2,toem3,toem4,toem5,toem6,rlightl1,rlighta1,rlightb1,rlightl2,rlighta2,rlightb2,rlightl3,rlighta3,rlightb3,rlightl4,rlighta4,rlightb4,rlightl5,rlighta5,rlightb5,rlightl6,rlighta6,rlightb6,rlightm1,rlightm2,rlightm3,rlightm4,rlightm5,rlightm6,rdarkl1,rdarka1,rdarkb1,rdarkl2,rdarka2,rdarkb2,rdarkl3,rdarka3,rdarkb3,rdarkl4,rdarka4,rdarkb4,rdarkl5,rdarka5,rdarkb5,rdarkl6,rdarka6,rdarkb6,rdarkm1,rdarkm2,rdarkm3,rdarkm4,rdarkm5,rdarkm6,backl1,backa1,backb1,backl2,backa2,backb2,backl3,backa3,backb3,backl4,backa4,backb4,backl5,backa5,backb5,backl6,backa6,backb6,backm1,backm2,backm3,backm4,backm5,backm6
MSB,Bird,7009,Bubo virginianus,2181,United States,New Mexico,"Taos; 12 mi NW, Arroyo Hondo",4/16/1990,36.5347434,-105.6668472,2074,oth,chick,F,35.28,3.73,28.85,35.48,2.74,26.61,34.59,2.97,24.46,30.79,1.89,24.17,35.54,4.82,23.64,38.27,6.86,26.06,35.14,34.29,42.55,44.64,39.3,42.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32,5.93,19.51,14.66,2.12,12.97,23.97,3.9,18.43,20.87,5.04,14.99,27.54,6.49,16.87,30.04,7.65,22.43,55.01,62.73,59.45,54.06,57.38,56.95
MSB,Bird,2171,Bubo virginianus pinorum,8070,United States,New Mexico,Eagle Nest; 5 mi E,9/28/1962,36.5532237,-105.1769257,2884.4,pin,adult,F,32.29,8.08,17.56,32.53,6.67,24.63,40.95,6.94,24.27,29.07,4.91,25.45,33.6,4.69,25.6,35.82,5.59,27.92,36.38,44.59,39.08,40.64,41.54,45.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83,3.63,11.85,18.12,7.77,16.09,8.67,1.46,6.7,7.11,0.88,4.92,13.12,2.57,9.48,10.96,3.07,10.64,89.46,71.85,101.75,89.77,76.13,83.2
MSB,Bird,7565,Bubo virginianus pallescens x Bubo virginianus pinorum,2942,United States,New Mexico,Eagle Nest,10/1/1991,36.5536373,-105.261898,2510,hyb,adult,F,43.67,5.66,19.66,37.08,4.17,23.7,25.9,6.46,17.75,44.9,5.87,27.47,44.54,7.02,33.61,33.51,6.44,20.54,32.06,37.22,28.9,42.33,36.65,45.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08,4.75,14.02,18.78,7.18,21.7,5.77,0.2,4.07,14.47,0.13,12.77,11.11,1.26,8.79,11.31,2.49,9.9,76.48,67.4,85.67,109.73,84.93,90.14
MSB,Bird,25538,Bubo virginianus,10088,United States,New Mexico,Farmington Area,11/5/2006,36.7280598,-108.2186852,1614.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,23739,Bubo virginianus pallescens,3803,United States,New Mexico,"Nagez. Trading Post, ca 5 mi SE (mile 111)",3/9/2003,36.7388841,-108.2510376,1596.1,pal,adult,M,67.45,2.86,26.84,65.44,3.2,28.37,62.13,4.75,24.61,77.27,1.86,34.78,71.02,2.47,34.19,64.8,2.38,30.89,20.35,12.33,22.83,10.89,5.75,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,2.02,13.72,17.4,2.82,12.24,25.37,0.74,18.28,14.32,2.68,13.95,26.03,1.95,13.19,17.92,3.46,12.35,69.65,79.65,73.91,75.28,78.39,71.94
MSB,Bird,23170,Bubo virginianus lagophonus,5792,United States,New Mexico,Farmington - downtown,4/16/2002,36.74081,-108.1880379,1632.4,lag,adult,M,37.34,8.5,28.21,27.98,2.49,25.26,20.66,4.48,20.58,20.32,5.93,19.51,25.54,8.5,23.36,21.51,9.27,18.72,57.52,58.6,59.4,42.27,58.13,54.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01,4.06,13.94,6.92,2.77,5.65,8.33,2.89,6.59,9.18,3.16,5.33,10.17,1.28,8.36,6.24,1.59,3.72,90.97,92.66,104.02,104.92,104.92,106.32
MSB,Bird,26578,Bubo virginianus,5063,United States,New Mexico,Farmington,8/24/2007,36.7504387,-108.1871796,1660.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,26333,Bubo virginianus,5063,United States,New Mexico,Farmington,10/9/2007,36.7504387,-108.1871796,1660.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,Bird,6515,Bubo virginianus pinorum,5063,United States,New Mexico,Farmington,2/5/1989,36.7504387,-108.1871796,1660.2,pin,adult,F,50.89,4.36,15.99,37.9,1.03,15.65,37.58,3,13.89,34.01,2.25,15.25,33.18,-0.72,7.2,47.46,2.43,18,36.8,33.06,18.81,40.89,38.25,28.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42,0.08,4.48,11.04,3.77,10.72,9.01,0.06,6.81,3.65,1.3,1.76,14.91,2.65,8.63,5.1,1.3,3.73,95.88,94.42,89.02,121.4,77.41,82.01
MSB,Bird,9982,Bubo virginianus,5063,United States,New Mexico,Farmington,8/2/1993,36.7504387,-108.1871796,1660.2,pin,immature,M,39.53,1.33,22.67,36.221,3.61,23.59,37.77,-1.03,23.32,44.82,6.08,25.53,47.44,4.75,26.62,48.22,3.96,28.55,29.08,30.76,29.84,29.53,37.31,32.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.22,6.44,16.82,5.49,2.09,3.36,8.18,1.47,6.4,9.91,3.39,8.38,5.93,1.28,4.9,5.05,0.74,3.66,85.48,66.61,107.57,100.04,80.3,107.12
MSB,Bird,26334,Bubo virginianus,5063,United States,New Mexico,Farmington,9/17/2007,36.7504387,-108.1871796,1660.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
